Local Date,Local Time,Close,Low,High,Volume
06-Jun-2022,17:09:00,145.6200,145.6100,145.7930,"125,803"
06-Jun-2022,17:10:00,145.5150,145.5100,145.6964,"144,118"
06-Jun-2022,17:11:00,145.4701,145.4000,145.5352,"184,906"
06-Jun-2022,17:12:00,145.5712,145.4300,145.6300,"125,657"
06-Jun-2022,17:13:00,145.4461,145.3800,145.6100,"106,539"
06-Jun-2022,17:14:00,145.5288,145.3800,145.5690,"101,631"
06-Jun-2022,17:15:00,145.5400,145.3800,145.5600,"75,204"
06-Jun-2022,17:16:00,145.5200,145.4300,145.5894,"126,738"
06-Jun-2022,17:17:00,145.6900,145.4800,145.7300,"169,081"
06-Jun-2022,17:18:00,145.6410,145.6200,145.7600,"143,398"
06-Jun-2022,17:19:00,145.7323,145.5925,145.7950,"94,119"
06-Jun-2022,17:20:00,145.7100,145.6900,145.8000,"115,174"
06-Jun-2022,17:21:00,145.7205,145.6500,145.7900,"106,640"
06-Jun-2022,17:22:00,145.6400,145.6100,145.7303,"113,845"
06-Jun-2022,17:23:00,145.6299,145.5800,145.7181,"88,173"
06-Jun-2022,17:24:00,145.7395,145.5700,145.7395,"69,534"
06-Jun-2022,17:25:00,145.5861,145.5700,145.7700,"92,440"
06-Jun-2022,17:26:00,145.7050,145.5801,145.7500,"61,267"
06-Jun-2022,17:27:00,145.6701,145.6686,145.7700,"95,013"
06-Jun-2022,17:28:00,145.6550,145.6394,145.7200,"66,153"
06-Jun-2022,17:29:00,145.6300,145.5500,145.6600,"103,326"
06-Jun-2022,17:30:00,145.5850,145.4800,145.6718,"122,460"
06-Jun-2022,17:31:00,145.3114,145.2600,145.6133,"225,779"
06-Jun-2022,17:32:00,145.4000,145.2000,145.4770,"174,999"
06-Jun-2022,17:33:00,145.5800,145.3900,145.6200,"156,676"
06-Jun-2022,17:34:00,145.5400,145.5400,145.6250,"113,812"
06-Jun-2022,17:35:00,145.6488,145.4456,145.6600,"82,008"
06-Jun-2022,17:36:00,145.6700,145.4678,145.7300,"115,311"
06-Jun-2022,17:37:00,145.7191,145.6400,145.7500,"113,846"
06-Jun-2022,17:38:00,145.7961,145.6800,145.8494,"128,275"
06-Jun-2022,17:39:00,145.8100,145.7135,145.8250,"84,399"
06-Jun-2022,17:40:00,145.8892,145.7260,145.8900,"104,688"
06-Jun-2022,17:41:00,145.7900,145.7649,145.8900,"95,072"
06-Jun-2022,17:42:00,145.8500,145.7781,145.9500,"102,258"
06-Jun-2022,17:43:00,145.9182,145.7720,145.9400,"69,109"
06-Jun-2022,17:44:00,145.9016,145.8700,145.9850,"94,783"
06-Jun-2022,17:45:00,145.9168,145.8800,145.9500,"53,064"
06-Jun-2022,17:46:00,145.8950,145.8600,145.9599,"58,196"
06-Jun-2022,17:47:00,145.9980,145.8500,146.0300,"128,768"
06-Jun-2022,17:48:00,145.9100,145.8900,146.0000,"89,706"
06-Jun-2022,17:49:00,145.9250,145.8900,145.9700,"74,320"
06-Jun-2022,17:50:00,145.9200,145.8900,145.9800,"80,565"
06-Jun-2022,17:51:00,145.8499,145.8200,145.9500,"107,765"
06-Jun-2022,17:52:00,145.7701,145.7600,145.9012,"95,198"
06-Jun-2022,17:53:00,145.7850,145.7400,145.8882,"105,010"
06-Jun-2022,17:54:00,145.8300,145.7850,145.8700,"59,773"
06-Jun-2022,17:55:00,145.9067,145.7800,145.9200,"70,455"
06-Jun-2022,17:56:00,145.9889,145.8390,145.9900,"73,623"
06-Jun-2022,17:57:00,145.9850,145.8849,146.1200,"145,331"
06-Jun-2022,17:58:00,146.0300,145.9500,146.0600,"98,799"
06-Jun-2022,17:59:00,146.0949,146.0200,146.1300,"97,556"
06-Jun-2022,18:00:00,146.0872,146.0300,146.1400,"76,524"
06-Jun-2022,18:01:00,145.9929,145.9700,146.1000,"92,951"
06-Jun-2022,18:02:00,145.9399,145.9200,146.0100,"63,191"
06-Jun-2022,18:03:00,146.1000,145.9280,146.1100,"133,212"
06-Jun-2022,18:04:00,145.9300,145.9100,146.1200,"122,046"
06-Jun-2022,18:05:00,145.9100,145.8800,146.0148,"112,754"
06-Jun-2022,18:06:00,146.0300,145.9200,146.0800,"90,449"
06-Jun-2022,18:07:00,146.0600,146.0087,146.1400,"148,693"
06-Jun-2022,18:08:00,146.1615,146.0200,146.1900,"117,967"
06-Jun-2022,18:09:00,146.1603,146.1400,146.2300,"187,993"
06-Jun-2022,18:10:00,145.9983,145.9800,146.1952,"182,662"
06-Jun-2022,18:11:00,146.0139,145.9700,146.1063,"65,613"
06-Jun-2022,18:12:00,145.8550,145.8300,146.0942,"103,056"
06-Jun-2022,18:13:00,145.6500,145.6500,145.9000,"171,250"
06-Jun-2022,18:14:00,145.8450,145.6300,145.8600,"150,390"
06-Jun-2022,18:15:00,145.7950,145.7900,145.8700,"76,820"
06-Jun-2022,18:16:00,145.7950,145.7300,145.8500,"87,600"
06-Jun-2022,18:17:00,145.7289,145.6000,145.7950,"100,648"
06-Jun-2022,18:18:00,145.6650,145.6199,145.7535,"98,192"
06-Jun-2022,18:19:00,145.7200,145.6300,145.7600,"90,813"
06-Jun-2022,18:20:00,145.7865,145.6819,145.8600,"111,210"
06-Jun-2022,18:21:00,145.7000,145.6700,145.7893,"92,150"
06-Jun-2022,18:22:00,145.7600,145.6166,145.7900,"107,481"
06-Jun-2022,18:23:00,145.8557,145.7428,145.8600,"111,149"
06-Jun-2022,18:24:00,145.9072,145.8461,145.9400,"84,322"
06-Jun-2022,18:25:00,145.8306,145.8001,145.9699,"99,592"
06-Jun-2022,18:26:00,145.7900,145.7600,145.8450,"76,125"
06-Jun-2022,18:27:00,145.8450,145.7650,145.8800,"79,541"
06-Jun-2022,18:28:00,145.8300,145.7600,145.9100,"55,020"
06-Jun-2022,18:29:00,145.7800,145.7500,145.8561,"46,007"
06-Jun-2022,18:30:00,145.8701,145.7600,145.8950,"65,525"
06-Jun-2022,18:31:00,145.9700,145.8100,146.0000,"120,401"
06-Jun-2022,18:32:00,146.1288,145.9236,146.1600,"159,401"
06-Jun-2022,18:33:00,146.0174,145.9600,146.1250,"83,522"
06-Jun-2022,18:34:00,146.0587,145.9700,146.0600,"63,231"
06-Jun-2022,18:35:00,146.0899,145.9900,146.1100,"60,694"
06-Jun-2022,18:36:00,146.0750,146.0300,146.1500,"77,045"
06-Jun-2022,18:37:00,146.1700,146.0250,146.1900,"87,059"
06-Jun-2022,18:38:00,146.3400,146.1300,146.3600,"137,438"
06-Jun-2022,18:39:00,146.4795,146.2143,146.4900,"108,600"
06-Jun-2022,18:40:00,146.4709,146.3074,146.5800,"160,091"
06-Jun-2022,18:41:00,146.4759,146.3900,146.5000,"102,115"
06-Jun-2022,18:42:00,146.5782,146.4700,146.6229,"109,859"
06-Jun-2022,18:43:00,146.6300,146.5100,146.6600,"132,084"
06-Jun-2022,18:44:00,146.5950,146.5512,146.6900,"133,502"
06-Jun-2022,18:45:00,146.5750,146.4900,146.6400,"109,883"
